Match,Bot Name,Total Payoff,Matches Played,Cooperation Rate
Match 1,QLearningAgent,538733.00,200000,81.79%
Match 1,TFTBot,537803.00,200000,81.88%
Match 2,QLearningAgent,188873.00,200000,5.56%
Match 2,DefectBot,244508.00,200000,0.00%
Match 3,QLearningAgent,978186.00,200000,5.45%
Match 3,CooperateBot,32721.00,200000,100.00%
Match 4,QLearningAgent,189193.00,200000,5.41%
Match 4,GrimBot,243253.00,200000,0.00%
Match 5,QLearningAgent,554043.00,200000,82.63%
Match 5,TFT90Bot,536538.00,200000,84.38%
Match 6,TFTBot,199000.00,200000,0.50%
Match 6,DefectBot,204000.00,200000,0.00%
Match 7,TFTBot,600000.00,200000,100.00%
Match 7,CooperateBot,600000.00,200000,100.00%
Match 8,TFTBot,600000.00,200000,100.00%
Match 8,GrimBot,600000.00,200000,100.00%
Match 9,TFTBot,600000.00,200000,100.00%
Match 9,TFT90Bot,600000.00,200000,100.00%
Match 10,DefectBot,1000000.00,200000,0.00%
Match 10,CooperateBot,0.00,200000,100.00%
Match 11,DefectBot,200004.00,200000,0.00%
Match 11,GrimBot,199999.00,200000,0.00%
Match 12,DefectBot,283172.00,200000,0.00%
Match 12,TFT90Bot,179207.00,200000,10.40%
Match 13,CooperateBot,600000.00,200000,100.00%
Match 13,GrimBot,600000.00,200000,100.00%
Match 14,CooperateBot,600000.00,200000,100.00%
Match 14,TFT90Bot,600000.00,200000,100.00%
Match 15,GrimBot,600000.00,200000,100.00%
Match 15,TFT90Bot,600000.00,200000,100.00%
,,,,
TOURNAMENT AVERAGES,,,,
Average,QLearningAgent,2449028.00,1000000,36.17%
Average,TFTBot,2536803.00,1000000,76.48%
Average,DefectBot,1931684.00,1000000,0.00%
Average,CooperateBot,1832721.00,1000000,100.00%
Average,GrimBot,2243252.00,1000000,60.00%
Average,TFT90Bot,2515745.00,1000000,78.96%
